kdm-pardus-theme: 0.7
kernel: 2.6.14.4
keychain: 2.5.5
kile: 1.8.1
kio-slp: 0.4.1
kio-to-local: 0.1
klibc: 1.1
kmplayer: 0.9.1
knazar: 0.1
knights: 0.6.4_beta1
koffice: 1.4.2
konversation: 0.18
kshutdown: 0.6.0
ksystemlog: 0.3.2
ktorrent: 1.1
lame: 3.96.1
latex-beamer: 3.06
lcms: 1.13
less: 382
libao: 0.8.5
libart_lgpl: 2.3.16
libassuan: 0.6.9
libavc1394: 0.4.1
libcaca: 0.9
libcap: 1.10
libcdio: 0.76
lib-compat: 1.4
libcroco: 0.6.0
libdc1394: 1.1.0
libdts: 0.0.2
libdv: 0.102
libdvdcss: 1.2.8
libdvdnav: 0.1.10
libdvdread: 0.9.4
libebml: 0.7.2
libelf: 0.8.6
libexif: 0.6.12
libfame: 0.9.1
libgcrypt: 1.1.94
libgpg-error: 1.0
libgphoto2: 2.1.6
libid3tag: 0.15.1b
libIDL: 0.8.6
libidn: 0.5.19
libieee1284: 0.2.8
libkexif: 0.2.2
libkipi: 0.1.2
libksba: 0.9.9
libmad: 0.15.1b
libmal: 0.31
libmatroska: 0.7.4
libmikmod: 3.1.11
libmng: 1.0.4
libmovtar: 0.1.3
libmpcdec: 1.2.2
libmpeg2: 0.4.0
libmpeg3: 1.5.2
libnet-perl: 1.19
libogg: 1.1.2
libpcap: 0.9.4
libpcre: 6.4
libperl: 5.8.7
libpng: 1.2.8
libquicktime: 0.9.4
libraw1394: 1.1.0
librsvg: 2.12.7
libsamplerate: 0.1.2
libsdl: 1.4.7
libsigc++: 2.0.16
libsndfile: 1.0.11
libstdc++: 3.3.6
libtheora: 1.0_alpha5
libtool: 1.5.14
libungif: 4.1.4
libusb: 0.1.10a
libvisual: 0.2.0
libvisual-plugins: 0.2.0
libvorbis: 1.1.1
libwmf: 0.2.8.2
libwww: 5.4.0
libwww-perl: 5.805
libxml2: 2.6.19
libxmlpp: 1.0.4
libxslt: 1.1.14
linux-headers: 2.6.8.1
lipstik: 2.1
lirc: 0.8.0_pre1
live555: 20051027
Locale-gettext: 1.01
logrotate: 3.6.5
lsof: 4.75
ltmodem: 8.31_alpha10-alk8
ltrace: 0.3.36
lyx: 1.3.6
lzo: 1.08
m4: 1.4.2
macromedia-flash: 7.0.61
madplay: 0.15.2b
madwifi-ng: 20051222
Mail-SPF-Query: 1.997
make: 3.80
man: 1.5p
man-pages: 2.07
mc: 4.6.0
mDNSResponder: 107.1
memusage: 2.3.5
microcode-ctl: 1.11
MIME-Base64: 3.05
mingetty: 1.0
miscfiles: 1.4.2
mjpegtools: 1.6.2
mkinitrd: 0.2
module-init-tools: 3.0
modutils: 2.4.27
mpeg2vidcodec: 12
mpg123: 0.59s
mplayer: 20051121
mplayerplug-in: 3.15
mtools: 3.9.9
musicbrainz: 2.1.1
mysql: 4.1.14
nano: 1.3.9
nas: 1.7
nasm: 0.98.39
ncftp: 3.1.8
ncompress: 4.2.4
ncurses: 5.5
ndiswrapper: 1.7
neon: 0.24.7
Net-CIDR-Lite: 0.18
Net-Daemon: 0.38
Net-DNS: 0.54
Net-Ident: 1.20
Net-IP: 1.24
net-kga: 1.0
netpbm: 10.30
Net-SSLeay: 1.23
net-tools: 1.60
nmap: 3.95
normalize: 0.7.6
ntfsprogs: 1.12.1
nuvola: 1.0
nvidia: 1.0-8178
nvu: 1.0
ocaml: 3.08.1
openal: 20050504
openjade: 1.3.2
openobex: 1.0.1
openoffice: 2.0.1
openslp: 1.2.1
opensp: 1.5.1
openssh: 4.2_p1
openssl: 0.9.7i
p7zip: 4.30
pam: 0.77
pam-login: 3.14
pango: 1.10.0
pardus-kernel-uml: 2.6.13-bs4
parted: 1.6.20
patch: 2.5.9
pccts: 1.33.33
pciutils: 2.2.0
perl: 5.8.7
pgf: 1.00
pilot-link: 0.11.8
pinentry: 0.7.2
pisi: 1.0.3
pisi-kga: 1.0.1
pkgconfig: 0.15.0
plastique: 0.3.2
PlRPC: 0.2018
pmount: 0.9.7
polyester: 0.6.5
poppler: 0.4.2
popt: 1.7
portmap: 5b
poster: 0.1
postfix: 2.2.5
ppp: 2.4.2
prelink: 20050610
preload: 0.2
procps: 3.2.4
psmisc: 21.5
psutils: 1.17
pth: 1.4.0
pwc: 10.0.9
pwdb: 0.62
PyKDE: 20051013
PyKDEeXtensions: 0.4
pyparted: 1.6.9
PyQt: 20051013
pyrex: 0.9.3
python: 2.4.2
python-bsddb3: 4.3.3
python-docs: 2.4.2
python-fchksum: 1.7.1
PyWireless: 3.0
qca: 1.0
qca-tls: 1.0
qemu: 0.7.2
qscintilla: 1.65_20051103
qt: 3.3.5
qtparted: 0.4.5
rar: 3.5.1
rcs: 5.7
rdate: 0.990821
rdesktop: 1.4.1
readline: 5.0
recode: 3.6
reiserfsprogs: 3.6.18
rpm2targz: 9.0
rp-pppoe: 3.6
rsync: 2.6.6
rt2500: 1.1.0_beta3
ruby: 1.8.3
samba: 3.0.20b
sane-backends: 1.0.16
sash: 3.7
schedutils: 1.5.0
scons: 0.96.1
screen: 4.0.2
sed: 4.0.9
setserial: 2.17
sgml-common: 0.6.3
shadow: 4.0.5
shared-mime-info: 0.14
sharutils: 4.2.1
sip: 20051013
skype: 1.2.0.18
skype-avatars: 1.0
slang: 1.4.9
slmodem: 2.9.11-20051101
slocate: 2.7
Socket6: 0.19
sox: 12.17.5
spamassassin: 3.1.0
spca5xx: 20051212
speex: 1.1.10
splash-theme: 0.1
splashutils: 1.1.9.10
splashutils-misc: 0.1.3
sqlite: 3.2.7
squashfs-tools: 2.2-r2
startup-notification: 0.8
Storable: 2.15
strace: 4.5.11
subversion: 1.2.3
sudo: 1.6.8_p12
sun-jdk: 1.5.0.06
swig: 1.3.21
synaptics: 0.14.4
sysfsutils: 1.3.0
Sys-Hostname-Long: 1.4
sysklogd: 1.4.1
sysvinit: 2.86
t1lib: 5.0.2
taglib: 1.4
tar: 1.15.1
tasma: 1.0.2
tcpdump: 3.9.4
tcp-wrappers: 7.6
tcsh: 6.14
telnet-bsd: 1.2
tetex: 3.0
tetex-texmf: 3.0
texinfo: 4.8
thunderbird: 1.5_rc2
tiff: 3.7.2
Time-HiRes: 1.83
tn5250: 0.16.5
traceroute: 1.4a12
transcode: 0.6.14
transfig: 3.2.5_alpha7
tree: 1.5.0
ttf-bitstream-vera: 1.10
ttmkfdir: 3.0.9
tulliana: 1.0
tunepimp: 0.3.0
tv-fonts: 1.1
tvtime: 1.0.1
twolame: 0.3.3
ucl: 1.01
udev: 072
uhinv: 0.4
uml-utils: 1.0
ungrab-winmodem: 1
unrar: 3.5.4
unzip: 5.52
URI: 1.35
usbutils: 0.71
users-kga: 0.1
utempter: 0.5.5.5
util-linux: 2.12r
valgrind: 3.1.0
vcdimager: 0.7.23
vim: 6.4
vixie-cron: 4.1
vorbis-tools: 1.1.1
vsftpd: 2.0.3
wget: 1.10.2
which: 2.16
whois: 4.7.2
win32codecs: 20050412
wine: 0.9.3
wireless-tools: 28_pre10
wpa_supplicant: 0.4.7
x264: 20051016
Xaw3d: 1.5
xawtv: 3.94
xcolor: 2.06
xdelta: 1.1.3
xerces-c: 2.7.0
xfig: 3.2.5_alpha5
xfsprogs: 2.7.3
xine-lib: 1.1.0
XML-Parser: 2.34
XML-RegExp: 0.03
xmms: 1.2.10
xorg: 6.9.0
xosd: 2.2.14
xvid: 1.0.2
yacc: 1.9.1
yafray: 0.0.8
yakuake: 2.7.3
zemberek-server: 0.3
zip: 2.3
zlib: 1.2.3
zpspell: 0.2
zvbi: 0.2.17
